lead_time,avg_price_per_room,no_of_special_requests,arrival_date,arrival_month,market_segment_type,no_of_week_nights,no_of_weekend_nights,no_of_adults,arrival_year,booking_status
36,103.95,0,8,4,4,1,0,2,2018,1
63,131.75,2,26,7,3,5,0,2,2018,1
87,112.01,1,29,5,4,2,2,0,2018,1
58,79.2,1,13,11,4,2,1,2,2017,1
301,52.0,0,18,11,3,2,0,2,2018,0
346,115.0,1,13,9,4,2,0,2,2018,0
361,91.0,0,4,11,4,1,0,1,2018,0
3,65.0,0,6,6,2,0,1,1,2018,1
49,71.0,0,30,12,3,4,0,2,2017,1
19,135.0,0,7,5,4,1,0,1,2018,1
74,101.5,0,18,9,3,2,0,2,2017,1
34,107.1,1,14,6,4,3,0,2,2018,1
73,79.05,1,16,3,4,4,1,2,2018,0
0,67.0,0,25,11,2,1,0,1,2018,1
94,96.3,1,12,4,4,2,0,2,2018,1
134,76.58,1,9,5,4,4,1,2,2018,1
1,80.0,0,18,1,4,0,1,1,2018,1
75,127.8,1,30,7,4,1,0,2,2018,1
100,140.0,1,28,9,3,4,0,2,2018,1
91,116.1,0,18,6,4,1,1,2,2018,0
22,95.0,0,11,10,3,3,0,2,2018,1
13,153.0,0,24,8,4,1,1,2,2017,1
32,73.0,0,20,11,3,2,0,1,2017,1
63,126.9,1,9,6,4,3,0,2,2018,0
26,127.2,0,5,9,4,3,1,3,2018,0
296,117.0,1,21,9,4,4,0,2,2018,0
8,95.0,0,5,4,4,1,0,1,2018,0
7,130.67,0,13,8,4,1,2,2,2018,0
263,110.0,0,21,10,3,2,0,2,2018,0
140,70.0,0,29,12,3,5,0,2,2017,1
131,94.5,0,15,8,3,1,2,2,2017,1
6,137.0,0,3,3,4,3,0,3,2018,0
219,145.1,1,13,9,4,2,0,2,2018,0
19,75.0,0,18,7,3,1,1,1,2018,1
16,142.0,4,1,10,4,2,0,3,2017,1
57,75.0,0,16,9,3,2,0,1,2018,1
7,152.0,1,14,9,4,2,1,2,2017,1
18,65.0,1,18,10,2,1,0,1,2018,1
31,64.67,1,14,11,4,5,2,2,2018,1
6,85.0,0,28,8,3,1,2,2,2018,1
148,67.0,0,30,12,3,4,1,2,2017,1
63,118.33,3,10,11,4,3,0,2,2018,1
178,94.62,0,23,8,4,3,0,2,2018,0
151,71.0,0,19,1,3,4,0,1,2018,1
93,72.25,2,3,12,4,3,1,2,2017,1
102,86.4,2,6,12,4,2,0,1,2018,0
167,72.25,1,4,8,3,3,2,2,2018,1
57,103.8,1,30,10,4,1,2,2,2018,1
181,76.5,2,6,8,4,2,0,2,2017,0
245,107.59,0,22,9,4,5,2,2,2018,0
49,80.75,0,3,6,3,2,0,2,2018,1
71,120.0,0,14,6,3,3,0,1,2018,1
44,75.0,0,17,2,3,3,0,2,2018,1
2,63.75,0,26,6,3,3,2,2,2018,1
147,106.25,2,28,6,4,5,2,2,2018,1
0,223.0,0,19,5,4,1,0,2,2018,0
44,67.5,0,12,2,4,2,0,2,2018,0
116,59.5,0,25,3,4,2,2,2,2018,0
11,126.0,1,8,5,4,1,2,2,2018,1
129,114.3,1,6,8,4,1,0,2,2018,1
13,85.29,1,27,8,4,5,2,2,2017,0
186,80.75,0,2,9,3,2,2,2,2018,1
20,93.0,2,7,2,4,1,2,2,2018,1
12,95.0,0,15,2,4,3,1,1,2018,1
10,80.75,0,5,12,4,1,1,2,2017,1
102,59.5,0,7,11,3,2,1,2,2018,0
7,94.0,0,8,8,2,0,1,1,2018,1
26,124.0,3,12,9,4,1,2,2,2017,1
106,90.95,1,17,4,4,2,2,2,2018,1
320,115.0,1,18,8,3,2,0,2,2018,0
0,69.0,1,30,11,4,7,3,1,2017,1
13,81.0,0,8,3,4,2,0,2,2018,1
15,103.44,0,27,4,4,3,0,2,2018,0
270,80.0,0,20,4,3,4,0,2,2018,1
102,89.25,0,16,10,4,2,1,2,2017,1
102,87.0,0,16,10,3,2,0,1,2017,1
1,65.0,0,30,9,2,1,0,1,2017,1
78,95.0,1,29,9,3,3,0,2,2018,1
112,100.0,0,2,6,3,2,0,2,2018,1
273,109.0,0,17,7,3,2,0,2,2017,0
25,129.0,2,17,10,4,2,1,1,2018,1
72,79.65,0,30,10,4,2,2,2,2018,0
93,76.5,2,15,8,4,3,2,2,2017,0
91,114.3,0,6,7,4,1,0,2,2018,1
24,71.69,1,11,9,4,0,2,2,2018,1
5,66.0,0,28,2,2,0,2,1,2018,1
6,88.0,0,1,12,4,1,0,1,2018,1
57,135.9,1,10,8,4,2,0,2,2018,1
14,0.0,0,17,9,4,2,0,1,2017,1
12,75.2,0,14,12,4,1,0,1,2018,1
5,73.15,0,15,11,4,0,1,1,2017,1
99,81.0,0,19,2,2,1,0,1,2018,1
97,109.81,1,30,4,4,5,2,2,2018,1
56,85.85,1,28,3,4,5,1,2,2018,0
60,123.3,1,3,9,4,1,1,2,2018,0
8,85.35,1,29,10,4,1,2,1,2018,1
198,159.3,1,22,9,4,3,0,3,2018,0
163,72.25,1,21,8,3,6,4,2,2018,1
19,117.81,1,23,9,4,2,1,1,2018,1
20,80.0,0,14,11,3,2,1,2,2018,1
3,98.8,0,7,9,3,1,1,1,2017,1
1,51.5,0,7,2,3,1,2,2,2018,1
30,79.6,1,31,1,4,0,2,2,2018,1
118,110.0,0,6,6,3,1,1,1,2018,1
386,115.0,1,23,10,4,0,2,2,2018,0
186,102.6,2,30,9,4,2,2,2,2018,0
304,89.0,0,3,11,4,3,0,2,2018,0
2,55.0,0,2,3,3,1,0,1,2018,1
12,75.0,0,5,10,3,2,1,1,2017,1
9,201.0,3,1,8,4,0,1,2,2018,1
183,187.5,0,16,8,4,5,0,3,2018,0
79,37.33,1,7,7,1,3,0,2,2017,1
256,100.75,0,16,10,4,3,2,2,2018,0
97,96.3,1,8,4,4,2,0,2,2018,1
175,112.63,0,31,8,4,4,0,2,2018,0
69,57.52,1,28,10,4,1,0,1,2018,1
10,95.0,1,1,9,3,1,0,2,2018,1
0,62.8,0,24,12,3,3,2,2,2017,1
122,86.0,0,27,3,3,1,2,1,2018,1
11,95.48,1,16,3,4,3,0,2,2018,1
67,125.1,1,13,8,4,1,0,2,2018,1
42,106.8,1,25,11,4,3,0,3,2017,1
4,109.0,0,2,1,3,1,2,2,2018,1
4,59.0,0,25,1,2,0,1,1,2018,1
133,88.5,0,29,4,4,2,1,2,2018,0
74,55.24,0,17,2,4,4,1,2,2018,1
2,102.7,0,2,8,4,1,0,1,2018,1
135,94.5,2,22,5,4,0,2,2,2018,1
128,105.4,1,4,5,3,3,0,3,2018,1
0,89.0,0,9,5,4,0,1,2,2018,1
6,81.0,0,23,8,4,0,1,2,2017,1
38,85.0,0,2,12,2,2,0,2,2018,1
20,156.0,0,11,5,4,1,0,1,2018,0
240,90.95,2,27,10,4,3,1,2,2018,1
34,74.8,2,14,11,4,5,2,1,2018,0
79,75.0,0,13,11,3,2,0,2,2017,1
126,125.45,2,15,5,4,3,2,2,2018,1
4,88.0,1,14,12,4,1,0,1,2018,1
31,125.1,1,4,10,4,1,0,2,2018,1
2,75.0,0,20,9,3,1,2,2,2017,1
35,84.24,0,1,6,4,2,0,2,2018,0
147,127.93,1,3,7,4,2,2,3,2018,1
188,130.0,0,15,6,3,2,0,1,2018,0
176,137.7,2,9,8,4,3,0,3,2018,0
0,65.0,0,23,5,2,0,1,1,2018,1
22,206.0,2,13,6,4,3,1,3,2018,1
31,135.9,1,27,7,4,2,0,2,2018,0
73,149.4,1,19,9,4,3,1,2,2018,0
2,98.0,0,22,3,4,2,0,2,2018,1
83,75.0,0,18,12,3,0,2,2,2018,1
8,101.0,0,6,2,2,1,0,1,2018,1
11,80.3,1,20,1,4,2,0,2,2018,1
192,94.5,0,3,8,4,2,0,2,2018,0
39,130.9,2,8,12,4,8,2,3,2018,1
188,130.0,0,15,6,4,2,0,1,2018,0
64,70.46,0,10,3,4,13,6,2,2018,0
39,96.3,2,23,10,4,1,0,2,2017,1
47,119.52,0,18,9,4,2,2,2,2018,1
74,109.0,0,18,9,3,2,0,2,2017,1
27,195.5,2,8,8,4,1,1,2,2018,1
256,115.0,1,15,6,3,2,0,2,2018,0
304,89.0,0,3,11,4,3,0,2,2018,0
267,95.0,0,30,9,3,2,1,2,2018,0
33,120.6,1,3,10,4,0,1,1,2018,1
47,86.35,1,11,3,4,2,2,2,2018,1
54,117.9,0,3,7,4,1,2,2,2018,0
95,80.75,0,6,5,3,2,1,2,2018,1
89,87.3,1,1,4,4,2,0,2,2018,1
104,150.3,0,24,8,4,4,0,3,2018,0
156,106.89,1,12,8,4,6,2,2,2018,0
213,130.0,0,7,6,3,3,0,2,2018,0
44,66.29,1,21,2,4,5,2,2,2018,1
86,90.95,1,25,4,4,3,1,2,2018,1
78,108.45,1,6,4,4,4,0,2,2018,1
76,140.4,1,12,5,4,3,0,2,2018,1
170,112.2,1,11,8,4,3,2,2,2018,0
4,67.5,0,16,1,4,1,1,2,2018,1
131,94.5,0,15,8,3,1,2,2,2017,0
19,115.0,0,3,3,4,1,0,3,2018,0
97,84.43,0,1,5,4,4,2,2,2018,0
0,129.0,1,17,6,4,1,0,2,2018,1
275,90.0,0,5,10,3,4,1,2,2018,0
16,111.75,1,1,10,4,3,1,2,2017,1
146,95.0,0,24,4,3,0,2,2,2018,0
35,73.1,0,2,3,4,2,0,2,2018,0
20,70.42,0,28,12,4,2,1,2,2017,1
191,132.0,0,3,6,3,2,1,2,2018,0
36,68.07,1,10,12,4,6,2,2,2018,1
105,114.3,1,7,7,4,3,1,2,2018,1
10,110.0,0,30,9,0,1,0,1,2018,0
6,87.27,1,30,10,4,2,1,2,2017,1
167,96.3,0,26,8,4,2,1,1,2018,0
138,142.2,0,18,8,4,2,0,3,2018,0
3,185.57,0,7,4,4,2,0,3,2018,1
275,90.0,0,5,10,3,4,1,2,2018,0
33,149.0,1,26,10,4,4,0,2,2018,0
290,72.0,0,17,6,3,2,1,2,2018,0
246,104.55,0,26,12,4,3,1,3,2018,1
75,90.0,0,17,4,4,0,2,2,2018,1
12,55.72,0,6,2,4,2,2,2,2018,1
14,91.0,1,7,2,4,2,2,2,2018,0
7,58.0,0,9,12,3,3,0,2,2017,1
4,55.0,0,27,11,3,2,1,2,2017,1
177,84.39,0,22,8,4,5,2,2,2018,0
176,108.9,0,7,10,4,2,0,2,2018,0
5,167.0,0,21,8,4,0,1,2,2018,0
308,78.3,1,23,11,4,3,0,2,2018,0
88,112.2,0,5,10,3,1,1,2,2017,1
4,80.0,0,19,2,2,1,0,2,2018,0
188,80.75,1,23,7,4,5,2,2,2018,1
46,96.16,1,13,3,4,5,3,2,2018,0
9,67.0,1,13,10,2,2,0,1,2018,1
9,194.0,2,27,6,4,3,1,2,2018,1
0,75.0,0,3,10,2,0,1,2,2018,1
235,105.3,2,6,8,4,1,1,2,2018,0
96,82.45,0,11,8,3,2,0,2,2018,1
135,79.72,1,9,5,4,4,1,2,2018,0
101,80.0,0,4,4,3,2,1,2,2018,0
212,78.0,1,20,5,3,3,2,2,2018,1
28,75.0,2,27,9,3,1,0,2,2018,1
13,75.0,0,20,3,3,0,1,1,2018,1
306,104.4,3,14,8,4,1,2,2,2018,1
51,83.3,1,21,3,4,3,1,2,2018,1
177,80.75,0,14,10,3,2,1,2,2018,1
17,142.54,0,6,11,4,2,2,2,2018,1
45,151.2,2,30,8,4,3,0,3,2018,1
244,94.5,2,21,12,4,2,0,2,2018,0
100,136.0,1,19,5,4,3,1,2,2018,1
41,76.5,0,15,3,4,1,0,1,2018,0
99,81.0,0,19,2,2,1,0,1,2018,1
192,95.0,0,24,6,3,2,0,1,2018,1
24,157.0,0,22,6,4,2,0,3,2018,0
29,129.0,1,20,10,4,2,0,1,2018,0
18,12.0,2,2,9,4,3,0,2,2017,1
104,91.48,1,18,10,4,4,0,2,2018,1
4,133.33,2,28,10,4,2,1,1,2018,1
34,122.4,0,19,6,4,1,2,2,2018,0
64,65.36,2,19,1,4,2,0,2,2018,1
1,85.0,0,23,1,4,1,0,1,2018,1
138,71.67,1,2,7,4,2,2,2,2018,1
12,118.5,1,31,8,4,2,0,2,2018,1
28,104.5,2,30,8,4,4,0,2,2018,1
164,100.0,0,2,10,3,2,0,1,2017,1
20,65.0,0,29,6,2,1,0,1,2018,1
5,80.0,0,18,12,3,2,2,2,2018,1
9,67.5,0,14,1,4,2,0,2,2018,1
12,89.0,1,15,1,4,2,1,2,2018,1
102,101.5,0,16,10,3,2,0,2,2017,0
48,93.5,2,20,3,4,2,2,2,2018,1
7,241.0,2,25,5,4,2,0,2,2018,1
55,104.0,0,6,4,3,1,0,2,2018,1
90,112.88,0,7,9,3,3,0,2,2018,1
50,123.3,1,2,9,4,2,1,2,2018,0
81,59.5,0,18,3,3,2,2,2,2018,1
275,62.8,0,4,6,3,1,1,2,2018,0
192,95.0,0,24,6,3,2,0,1,2018,1
113,100.0,0,31,5,2,3,0,1,2018,0
74,109.0,0,18,9,3,2,0,2,2017,1
18,142.43,1,27,8,4,5,2,2,2018,0
141,72.76,1,23,5,4,0,1,2,2018,1
29,98.0,0,12,4,4,3,0,2,2018,0
50,108.0,1,19,10,4,1,0,2,2018,0
20,67.0,0,4,12,2,0,2,1,2018,1
39,101.5,0,14,8,3,2,0,2,2017,1
2,89.0,0,30,3,4,1,0,1,2018,1
40,135.76,0,22,4,4,5,2,3,2018,0
69,123.98,0,1,9,4,6,2,2,2018,0
3,119.0,0,17,8,2,4,1,2,2017,0
270,80.0,0,20,4,3,4,0,2,2018,1
213,130.0,0,7,6,3,3,0,2,2018,0
2,99.14,0,19,8,4,5,2,2,2017,1
143,106.0,0,18,7,2,3,1,1,2018,1
377,115.0,1,14,10,3,2,0,2,2018,0
0,15.0,0,10,7,4,0,1,2,2018,1
14,139.0,1,14,2,4,5,2,3,2018,1
144,95.4,0,2,6,4,3,0,2,2018,1
1,74.25,1,4,1,4,1,1,2,2018,1
4,93.0,0,20,2,4,1,0,2,2018,1
101,70.0,0,4,4,3,2,1,1,2018,0
296,117.0,1,21,9,3,4,0,2,2018,0
0,124.0,0,10,8,4,3,1,2,2017,1
143,100.0,0,25,8,3,3,0,2,2018,1
109,131.4,3,11,8,4,3,1,2,2018,1
92,89.25,1,6,10,4,5,0,2,2017,1
188,130.0,0,15,6,3,2,0,1,2018,0
13,96.0,0,26,4,3,3,0,2,2018,1
224,128.7,2,23,10,4,1,2,3,2018,0
386,115.0,1,23,10,3,0,2,2,2018,0
275,90.0,0,5,10,3,4,1,2,2018,0
161,130.0,0,25,3,3,2,1,2,2018,0
36,214.75,0,21,8,4,0,1,4,2018,0
21,196.0,0,11,4,4,1,1,2,2018,0
81,89.25,2,24,10,4,3,2,2,2017,1
28,144.8,1,20,5,4,2,1,2,2018,1
112,100.0,0,2,6,3,2,0,2,2018,1
237,80.75,0,14,9,4,2,1,1,2017,0
46,98.1,1,7,9,4,1,0,2,2018,1
137,133.2,0,23,8,4,4,0,3,2018,0
85,100.0,0,30,9,3,3,0,1,2017,1
34,66.0,1,17,2,3,4,1,2,2018,1
0,141.0,1,12,5,4,1,0,2,2018,1
30,139.28,0,2,10,4,2,2,2,2018,0
37,95.0,0,13,10,3,3,0,1,2018,1
13,151.0,1,6,8,4,1,0,2,2018,1
113,138.55,0,1,7,4,6,2,3,2018,0
155,142.83,0,20,10,4,3,0,3,2018,0
4,109.0,2,11,3,4,2,1,2,2018,1
43,72.0,1,2,12,3,2,0,2,2018,1
232,110.7,2,5,12,4,2,1,3,2018,1
1,89.5,1,18,12,4,0,1,2,2018,1
142,128.7,1,1,7,4,2,0,3,2018,1
9,107.0,1,12,11,4,3,1,2,2017,1
160,106.75,0,8,8,4,5,2,2,2018,0
177,100.0,0,3,6,3,2,0,2,2018,0
0,182.33,1,27,5,4,2,0,2,2018,0
3,75.0,0,4,12,4,1,0,2,2017,1
20,115.6,2,8,6,4,2,0,2,2018,1
0,91.59,0,16,8,4,2,0,2,2018,1
92,187.85,1,1,6,4,4,0,2,2018,1
276,95.0,0,22,9,4,3,0,2,2018,0
44,95.0,1,23,4,3,1,2,2,2018,1
27,85.0,0,4,5,3,1,0,2,2018,1
61,78.9,1,29,2,4,2,1,1,2018,0
61,68.85,0,8,7,4,8,2,2,2017,0
83,75.0,0,1,5,3,1,2,2,2018,1
172,79.03,1,4,7,4,4,1,2,2018,1
48,108.0,1,4,10,4,3,0,2,2018,0
37,69.5,1,12,2,4,2,1,0,2018,1
92,90.95,0,7,4,3,3,1,2,2018,1
0,95.0,0,20,6,0,3,1,1,2018,1
0,0.0,1,28,9,1,1,0,1,2018,1
60,143.1,0,30,4,4,1,1,1,2018,0
188,105.3,0,13,8,4,1,1,2,2018,0
1,136.0,2,11,6,4,1,1,2,2018,1
71,120.0,0,14,6,3,3,0,1,2018,1
28,96.3,2,12,10,4,2,1,2,2017,1
39,109.0,0,14,8,3,2,0,2,2017,1
49,71.0,0,30,12,3,4,0,2,2017,1
10,129.0,0,29,6,4,2,0,2,2018,0
5,130.0,1,20,8,4,1,0,2,2018,1
7,90.0,1,17,8,4,2,1,2,2017,1
1,75.0,0,29,11,3,1,0,1,2018,1
14,89.0,0,19,4,4,1,0,2,2018,0
137,147.9,1,29,7,4,7,3,2,2018,1
76,129.0,2,17,6,4,2,2,2,2018,1
20,58.0,0,27,12,3,1,2,2,2017,1
105,75.0,0,6,4,3,1,0,2,2018,0
11,94.5,0,15,8,3,1,2,2,2017,1
23,96.0,0,10,3,4,3,1,2,2018,0
164,100.0,0,2,10,3,2,0,1,2017,0
189,72.25,0,8,8,3,3,1,2,2018,1
105,72.25,3,26,11,4,3,0,2,2017,1
188,130.0,0,15,6,3,2,0,1,2018,0
52,145.24,0,23,10,4,3,2,2,2018,0
145,94.5,0,1,8,4,1,1,2,2018,1
81,190.29,0,11,7,4,5,2,3,2018,1
6,169.93,1,12,9,4,1,1,3,2018,1
10,89.0,1,3,4,4,0,2,2,2018,1
99,81.0,0,19,2,2,1,0,1,2018,1
54,140.4,0,4,6,4,1,0,2,2018,0
176,125.1,0,8,9,3,3,0,2,2018,0
68,125.1,0,16,9,4,1,0,2,2018,0
50,127.8,2,4,10,4,2,0,2,2018,1
1,98.0,0,9,8,4,0,2,2,2017,1
49,71.0,0,30,12,3,4,0,2,2017,1
150,80.1,0,30,10,4,0,2,2,2018,0
135,90.0,0,14,9,3,2,1,2,2017,1
111,120.0,0,10,10,3,0,1,1,2018,0
3,138.5,0,11,7,3,1,2,3,2017,1
122,76.5,2,13,7,4,0,1,2,2017,0
40,158.4,1,2,10,4,0,1,3,2018,1
204,93.22,2,15,8,4,10,5,2,2018,0
119,112.5,0,28,6,4,1,0,2,2018,0
240,140.4,0,30,9,4,2,0,2,2018,0
96,108.0,3,3,10,4,1,1,1,2018,1
131,108.0,0,10,10,4,0,1,1,2018,0
247,115.0,1,6,6,3,1,1,2,2018,0
137,79.72,1,22,5,4,3,2,2,2018,1
18,146.0,1,10,5,4,3,0,2,2018,1
105,75.0,0,6,4,3,1,0,2,2018,0
52,132.9,0,8,7,4,2,1,2,2018,0
304,89.0,0,3,11,3,3,0,2,2018,0
73,145.93,0,2,7,4,10,4,3,2018,0
142,138.55,1,8,8,4,4,1,3,2018,1
88,98.18,0,26,4,4,4,0,2,2018,0
94,117.9,0,23,8,4,2,0,2,2018,0
57,90.67,1,10,6,3,2,1,2,2018,1
61,63.58,0,19,3,3,2,2,2,2018,1
276,116.33,0,22,9,3,3,0,2,2018,0
117,72.25,1,27,7,3,4,1,2,2018,1
6,90.2,1,7,2,3,2,2,3,2018,1
76,80.75,0,17,9,4,4,2,1,2017,1
102,101.5,0,16,10,4,2,0,2,2017,0
83,112.59,2,28,9,4,1,0,2,2018,1
89,87.3,1,8,4,4,2,1,2,2018,1
166,110.0,0,1,11,3,3,0,1,2018,0
10,110.0,0,29,5,2,5,3,1,2018,1
250,95.0,0,26,9,3,3,1,2,2018,0
9,0.0,0,6,4,4,1,0,1,2018,1
273,95.0,0,13,5,4,2,1,2,2018,0
85,73.95,2,17,3,4,3,2,2,2018,1
79,88.5,0,17,4,4,1,2,2,2018,0
30,140.0,0,2,6,3,2,0,2,2018,1
0,99.2,0,7,9,3,1,1,2,2017,1
112,100.0,0,2,6,3,2,0,2,2018,1
5,100.0,0,24,5,2,2,0,1,2018,1
14,98.11,1,28,12,4,5,2,2,2018,1
12,184.0,3,24,2,4,4,0,3,2018,1
95,103.7,3,21,12,4,5,2,2,2018,1
80,136.0,0,9,10,3,2,0,2,2017,1
52,207.9,1,14,9,4,3,0,2,2018,0
64,93.5,0,18,3,4,2,2,1,2018,1
11,129.75,1,25,7,4,2,1,2,2018,1
178,124.5,0,18,8,4,3,0,1,2018,0
0,161.0,0,25,7,4,2,1,2,2018,1
224,102.25,0,8,8,3,2,1,2,2018,0
7,138.0,2,11,9,4,2,0,2,2017,1
0,163.18,0,18,5,2,1,0,1,2018,0
260,113.4,0,22,9,4,3,0,2,2018,0
1,95.0,1,5,11,4,2,0,2,2017,1
172,80.75,0,27,6,4,4,1,2,2018,0
219,72.25,0,17,8,3,3,0,2,2018,1
50,79.56,0,13,7,3,4,2,2,2018,0
14,184.0,2,22,9,4,1,0,1,2018,1
0,0.0,0,1,10,1,1,0,1,2017,1
156,72.25,1,16,7,3,2,2,2,2018,1
164,100.0,0,2,10,3,2,0,1,2017,1
211,100.0,0,20,5,3,2,0,2,2018,0
40,75.0,0,28,10,3,3,0,2,2017,1
229,70.44,0,27,10,4,3,0,2,2018,0
7,156.0,1,16,6,4,4,2,2,2018,0
60,65.0,0,21,9,3,1,1,2,2017,1
143,0.0,0,24,4,4,0,0,2,2018,1
0,0.0,2,12,12,1,0,1,2,2018,1
193,120.0,0,20,6,3,2,1,2,2018,0
61,72.24,1,26,10,3,1,1,2,2017,1
6,126.0,1,9,5,4,1,1,2,2018,1
87,181.16,2,9,7,4,5,2,3,2018,1
119,90.9,0,15,4,4,2,0,1,2018,1
72,53.95,1,19,9,4,3,1,2,2018,1
5,64.0,0,2,2,3,3,0,2,2018,1
5,82.35,0,28,11,4,1,1,1,2018,1
16,76.0,0,8,3,2,2,0,1,2018,1
104,77.03,1,16,7,4,1,1,2,2018,1
170,96.3,1,28,6,4,3,0,2,2018,1
75,80.0,0,17,3,3,3,1,2,2018,0
92,90.0,0,11,11,3,1,0,2,2018,1
0,55.08,0,12,2,4,1,0,2,2018,1
7,95.0,0,4,4,4,0,1,1,2018,1
12,134.33,2,19,7,4,3,0,2,2018,1
110,95.0,0,26,6,4,1,2,2,2018,0
15,60.0,0,27,12,3,1,0,1,2018,1
18,75.0,1,21,1,4,2,0,3,2018,1
245,110.0,0,6,7,3,4,2,1,2018,0
30,149.4,0,11,5,4,4,0,2,2018,0
79,95.2,1,4,4,4,3,1,2,2018,1
61,75.0,1,23,11,3,3,0,2,2018,1
235,106.25,0,27,10,4,3,1,2,2018,0
3,131.0,0,24,7,4,0,1,2,2018,1
0,45.0,1,28,10,3,1,0,1,2018,1
38,112.59,0,26,9,4,1,1,2,2018,0
100,38.67,0,25,3,3,2,1,2,2018,1
19,95.0,1,27,10,2,1,0,1,2017,1
94,146.7,0,30,6,4,2,0,3,2018,0
13,156.0,0,6,5,4,2,0,2,2018,1
84,60.98,1,5,11,4,1,0,2,2018,1
6,54.0,0,28,2,3,0,2,2,2018,1
80,80.33,1,17,3,4,3,1,2,2018,1
94,96.3,0,9,3,4,3,0,2,2018,1
71,87.13,1,3,4,4,2,2,2,2018,1
38,77.23,3,2,11,4,4,0,1,2018,1
122,105.3,1,12,5,4,2,0,2,2018,1
39,101.5,0,14,8,3,2,0,2,2017,1
2,78.2,1,6,11,3,5,2,2,2018,1
86,105.4,1,25,4,4,5,3,2,2018,0
47,90.3,0,18,2,4,3,0,2,2018,1
1,71.7,0,27,1,4,2,0,1,2018,1
44,98.8,0,2,12,4,2,0,2,2018,0
0,135.5,2,1,10,4,2,0,2,2017,1
0,75.0,0,24,3,3,1,0,1,2018,1
99,65.0,0,30,10,4,2,2,2,2017,0
25,89.89,2,10,12,4,2,2,2,2018,1
75,80.0,0,17,3,4,3,1,2,2018,0
102,40.67,0,3,1,3,1,2,2,2018,1
0,101.18,0,23,7,4,1,0,1,2018,1
17,135.0,2,7,10,4,1,0,2,2018,1
433,70.0,0,8,9,3,3,0,2,2018,0
19,174.0,2,15,9,4,2,0,2,2018,1
42,88.2,0,22,3,4,1,0,2,2018,1
49,63.75,0,8,3,4,4,0,2,2018,0
77,115.8,1,18,4,4,2,1,2,2018,1
0,129.0,3,30,8,4,3,0,2,2018,1
273,95.0,0,13,5,3,2,1,2,2018,0
9,82.92,0,30,3,4,1,0,1,2018,1
77,125.1,1,18,6,4,1,1,2,2018,1
95,65.83,1,14,4,4,1,0,2,2018,1
177,80.75,1,26,7,4,4,0,2,2018,0
67,75.0,0,2,12,3,2,1,2,2018,1
